outcome,unit,clif_hospital,event_rate,n_patients,contributing_hospitals,p_hat,var,se,lower_prob,upper_prob,lower_log,upper_log,width_prob,width_log
death_hospice,icu,BMC,0.2023855645693151,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.2023855645693151,0.005428817451546454,0.07368050930569396,0.05797441996758668,0.34679670917104355,0.09397405430655177,0.38299570974553043,0.28882228920345687,0.2890216554389787
death_hospice,icu,HCG,0.23579071734231483,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.23579071734231483,0.007298767412980987,0.08543282397873189,0.06834545924645044,0.40323597543817924,0.10859729644253943,0.43864961264392466,0.3348905161917288,0.3300523162013852
death_hospice,icu,JHH,0.2023855645693151,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.2023855645693151,0.005428817451546454,0.07368050930569396,0.05797441996758668,0.34679670917104355,0.09397405430655177,0.38299570974553043,0.28882228920345687,0.2890216554389787
death_hospice,icu,SMH,0.20344660548484622,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.20344660548484622,0.00548413176238079,0.07405492395770041,0.05830162164990105,0.3485915893197914,0.0944444157241312,0.38479520482706914,0.29028996766989035,0.29035078910293793
death_hospice,icu,SUB,0.23579071734231483,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.23579071734231483,0.007298767412980987,0.08543282397873189,0.06834545924645044,0.40323597543817924,0.10859729644253943,0.43864961264392466,0.3348905161917288,0.3300523162013852
death_hospice,icu,UCMC,0.17325830639745227,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.17325830639745227,0.004016000039210085,0.06337191838038427,0.04905162874068726,0.2974649840542173,0.08092593259310034,0.33279180360413935,0.24841335531353004,0.251865871011039
death_hospice,ward,BMC,0.06300274517855879,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.06300274517855879,0.006358517355512106,0.07974031198529452,-0.09328539442860605,0.21929088478572362,0.004740056598764303,0.48699062957352945,0.3125762792143297,0.48225057297476515
death_hospice,ward,HCG,0.057657804820233985,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.057657804820233985,0.005360334414482287,0.07321430471214137,-0.08583959556870423,0.20115520520917218,0.0043427429326272195,0.46187693775021765,0.2869948007778764,0.45753419481759044
death_hospice,ward,JHH,0.10600505248404549,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.10600505248404549,0.017483456932596404,0.13222502385175208,-0.15315123212033813,0.36516133708842913,0.0076387511781331125,0.6462112182581998,0.5183125692087672,0.6385724670800668
death_hospice,ward,SMH,0.07426759429703896,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.07426759429703896,0.008739078872638705,0.09348304056158371,-0.10895579836896212,0.25749098696304,0.005552695319731395,0.5354610264441658,0.36644678533200215,0.5299083311244345
death_hospice,ward,SUB,0.06680917649835626,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.06680917649835626,0.007120857523218865,0.08438517359832155,-0.09858272458351418,0.23220107758022668,0.005018522680886797,0.5040124117967439,0.33078380216374087,0.4989938891158571
death_hospice,ward,UCMC,0.0834833475079121,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.0834833475079121,0.010967081204557187,0.1047238330302954,-0.12177159355445293,0.2887382885702771,0.006190574798300574,0.5711761457041091,0.41050988212473005,0.5649855709058086
death_hospice,stepdown,BMC,0.16513423405799588,2539,"BMC, HCG, JHH, SUB",0.16513423405799588,0.007471332980358999,0.08643687280529647,-0.004278923576654797,0.3345473916926466,0.054715097444888526,0.40331345806577545,0.3388263152693014,0.34859836062088695
death_hospice,stepdown,HCG,0.18450528385793707,2539,"BMC, HCG, JHH, SUB",0.18450528385793707,0.009299819635998744,0.09643557246161161,-0.004504964995324268,0.3735155327111984,0.06052259386983961,0.44277024018115885,0.3780204977065227,0.38224764631131924
