death_hospice.icu,death_hospice.ward,death_hospice.stepdown,organ_failure_yn.icu,organ_failure_yn.ward,organ_failure_yn.stepdown
0.023934262100406143,0.016898653501738026,0.029928992112701502,-0.004953426730561502,-0.01633529948127818,-0.01072339761242523
0.11023527623236348,0.2075159496127253,-0.05858483670545969,-0.047348880400354836,0.06334731576204183,-0.13333191600162017
-0.0245019540849863,-0.029002562965356932,-0.03192499232292876,0.0037444546895507753,0.0054948084802758845,0.012721330429449286
0.051973941955406826,0.07513416869548159,0.04669623267768347,0.02867599467614048,0.058757801147435416,0.03395169337722287
-0.8660107737452204,-1.221809078334735,-0.9957810756194474,0.8529022356853603,1.0937896625023098,0.7369241272305591
0.05551320077658649,-0.002548741563598033,0.05662800617163488,0.05581948343420537,-0.12900183729872572,0.23025705672685404
-0.16378150414861847,0.15018602698887729,-0.19869689608228525,-0.17408887211628046,-0.2159116653287906,-0.05366642975061364
-0.2570694909215914,-0.2988772170349798,-0.46021570576681065,-0.06862770298770489,-0.6654385429402894,-0.5976146207921829
-0.23706778567545783,-0.5217809972184849,-0.5752396306455015,-0.030894477385710956,-0.8013267296389357,-0.08795236264740311
-0.30030341236571156,-0.16357134401443457,0.02547930970023764,0.2053487760037578,-0.282726705434988,-0.4713059895975081
0.0023276560927822376,0.5950434197092017,0.5456803438133044,-0.02217549983174221,0.2585497188307104,0.05260217527802605
-0.004601457907115646,0.5215035835728441,0.28545416523313605,0.22691780076561147,0.36776101300188924,0.1639250264391511
0.5554133306748519,0.8702072129461538,0.41594982109816875,0.48287509816028323,0.6383577199158064,0.6059319825536379
0.9936192709889329,1.3081442899671132,0.9913745842252265,0.9824008453719184,1.0465543781137114,1.2041350044547026
0.0908746778335876,0.09806815567838724,0.04131332594429776,0.18580438626418205,0.04053972065684213,0.08209548164179999
0.6616061088746776,0.7678288153823571,0.6054684479460194,1.1641118922938851,1.4780138424639324,1.2568843537071341
0.470614807010432,0.47884456042799384,0.5243546251560058,0.3783735108261173,0.5285653924163011,0.3609493603359812
0.02031631263366316,0.2257723934662854,-0.1615566300369617,-0.11187543365295945,0.2202649985513451,-0.08671530414492638
-0.17097019725870857,-0.07181665660132035,-0.2980210321181188,-0.0723310373746445,-0.08394996665879528,0.15166076457470518
-0.2095212384165215,0.03588910932010801,-0.2246196252008389,-0.17626022633434008,0.040402522997055865,0.04350003406091468
-0.14186463756223217,0.1652023199039177,-0.1411666699786681,-0.052512409641669255,-5.348984064593443e-4,0.01907685748663427
